v1,v2
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
ham,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.
ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.
ham,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
ham,"Hmm well, night night "
ham,"If e timing can, then i go w u lor..."
ham,I will come tomorrow di
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
ham,"That means you got an A in epi, she.s fine. She.s here now."
spam,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+"
ham,have got * few things to do. may be in * pub later.
ham,Just hopeing that wasnÛ÷t too pissed up to remember and has gone off to his sisters or something!
ham,That is wondarfull song
ham,I will be gentle princess! We will make sweet gentle love...
ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
ham,Lol yeah at this point I guess not
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,Ok.ok ok..then..whats ur todays plan
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
ham,Ok
spam,Adult 18 Content Your video will be with you shortly
ham,At 7 we will go ok na.
ham,I will reach before ten morning
ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
ham,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
ham,cool. We will have fun practicing making babies!
ham,"Aight, can you text me the address?"
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,"Usf I guess, might as well take 1 car"
ham,I will see in half an hour
ham,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
ham,Aiyah then i wait lor. Then u entertain me. Hee...
ham,And by when you're done I mean now
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
ham,Omg it could snow here tonite!
ham,Delhi and chennai still silent.
spam,"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
ham,"I'm not coming over, do whatever you want"
ham,"Nah can't help you there, I've never had an iphone"
spam,You have 1 new message. Please call 08718738034.
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
ham,Hi.:)technical support.providing assistance to us customer through call and email:)
ham,"Sorry, I'll call later in meeting."
spam,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50
ham,I love you both too :-)
ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
ham,"We're all getting worried over here, derek and taylor have already assumed the worst"
ham,Oh wow thats gay. Will firmware update help
ham,Some are lasting as much as 2 hours. You might get lucky.
ham,See you there! 
ham,Never y lei... I v lazy... Got wat? Dat day Ì_ send me da url cant work one...
ham,I cant pick the phone right now. Pls send a message
ham,Also andros ice etc etc
ham,"Aight, you close by or still down around alex's place?"
ham,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\"""""
ham,Everybody had fun this evening. Miss you.
ham,i want to grasp your pretty booty :)
ham,Gud ni8.swt drms.take care
ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
ham,You said to me before i went back to bed that you can't sleep for anything.
spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
ham,Are you going to wipro interview today?
spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday."
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
ham,did u get that message
spam,"Congratulations - Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
ham,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx
ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
ham,Are you staying in town ?
ham,Dude how do you like the buff wind.
ham,Do u hav any frnd by name ashwini in ur college?
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
ham,Sitting ard nothing to do lor. U leh busy w work?
ham,Ok lor. Msg me b4 u call.
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
ham,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO 
ham,If you don't respond imma assume you're still asleep and imma start calling n shit
ham,When are you going to ride your bike?
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
ham,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.
ham,O shore are you takin the bus
ham,* Will have two more cartons off u and is very pleased with shelves
ham,Please da call me any mistake from my side sorry da. Pls da goto doctor.
ham,How did you find out in a way that didn't include all of these details
spam,"You are a å£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
ham,"I just got home babe, are you still awake ?"
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,Can u get pic msgs to your phone?
ham,I dont know why she.s not getting your messages
ham,I cant pick the phone right now. Pls send a message
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
ham,If i not meeting Ì_ all rite then i'll go home lor. If Ì_ dun feel like comin it's ok.
ham,Goodmorning today i am late for  &lt;DECIMAL&gt; min.
ham,Ok...
ham,It certainly puts things into perspective when something like this happens
ham,"Haven't seen my facebook, huh? Lol!"
ham,Not tonight mate. Catching up on some sleep. This is my new number by the way. 
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
spam,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16"
spam,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
ham,Oops i thk i dun haf enuff... I go check then tell Ì_..
ham,Gam gone after outstanding innings.
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
ham,"It'll be tough, but I'll do what I have to"
ham,I'm in a movie. Call me 4 wat?
spam,Marvel Mobile Play the official Ultimate Spider-man game (å£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
ham,Or ill be a little closer like at the bus stop on the same street
ham,Anytime lor...
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
ham,Pls she needs to dat slowly or she will vomit more.
ham,Goodmorning sleeping ga.
ham,Great! How is the office today?
ham,"Yup, leaving right now, be back soon"
ham,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
ham,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,At WHAT TIME should i come tomorrow
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
ham,I was gonna ask you lol but i think its at 7
ham,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,I've sent Ì_ my part..
ham,Wat uniform? In where get?
ham,Yup... How Ì_ noe leh...
spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
ham,If You mean the website. Yes.
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,"Nah, I'm a perpetual DD"
ham,Enjoy ur life. . Good night
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,What about this one then.
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
ham,Ok u can take me shopping when u get paid =D
ham,I think it's all still in my car
ham,Mathews or tait or edwards or anderson
ham,What time is ur flight tmr?
ham,Pls i wont belive god.not only jesus.
ham,Ok. So april. Cant wait
ham,I dont. Can you send it to me. Plus how's mode.
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
ham,I emailed yifeng my part oredi.. Can Ì_ get it fr him..
ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
ham,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. "
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
ham,"Sorry battery died, yeah I'm here"
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8
ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
ham,"Haha just kidding, papa needs drugs"
spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
ham,Cold. Dont be sad dear
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
ham,Lmao you know me so well...
ham,ÌÏ dun need to pick ur gf?
ham,Can. Dunno wat to get 4 her...
ham,Ok... Thanx... Gd nite 2 Ì_ too...
ham,I went to project centre
ham,No she didnt. I will search online and let you know.
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
ham,I'm not coming home 4 dinner.
ham,"Gumby's has a special where a  &lt;#&gt; \ cheese pizza is $2 so I know what we're doin tonight"""
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc"
ham,Thts wat Wright Brother did to fly..
ham,Auntie huai juan never pick up her phone
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
ham,"Thursday night? Yeah, sure thing, we'll work it out then"
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,Tmrw. Im finishing 9 doors
ham,Dai what this da.. Can i send my resume to this id.
ham,Not yet chikku..wat abt u?
ham,How? Izzit still raining?
ham,"Hm good morning, headache anyone? :-)"
ham,That means get the door
ham,Maybe i could get book out tomo then return it immediately ..? Or something.
ham,Pls call me da. What happen.
ham,I will lick up every drop :) are you ready to use your mouth as well?
ham,Is that seriously how you spell his name?
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
ham,Ok. There may be a free gym about.
ham,I didn't get the second half of that message
ham,How many licks does it take to get to the center of a tootsie pop?
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,Ok pa. Nothing problem:-)
ham,I can do that! I want to please you both inside and outside the bedroom...
ham,Get ready to put on your excellent sub face :)
ham,:-( that's not v romantic!
ham,Nice.nice.how is it working?
spam,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
spam,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007"
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
ham,Beauty sleep can help ur pimples too.
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,Well thats nice. Too bad i cant eat it
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
ham,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
